id,id,Name,Radius_x,Mass_x,Distance_x,Star Name,Distance_y,Mass_y,Radius_y,Luminosity
26,35,2MASS J03185403-3421292 [de],0.09968010999999999,0.046774812,45.0,Mirfak,0590,8.5,68,"5,000"
27,36,2MASS J03205965+1854233,0.11817744999999999,0.084003744,47.0,Wezen,"1,600",17,200,"82,000"
28,37,2MASS J03231002-4631237,0.17058658,0.021955524,192.0,Sargas,0270,5.7,26,"1,800"
29,38,SDSS J032553.17+042540.1,0.09762484999999999,0.04295646,59.0,Kaus Australis,0140,3.5,6.8,360
30,39,2MASS J03264225-2102057 [de],0.13359189999999999,0.017182584,80.0,Avior,0630,9.0,130,"60,000"
31,40,2MASS J03284265+2302051 [de],0.10070773999999999,0.051547752,98.0,Alkaid,0104,6.1,3.4,"1,350"
32,41,2MASS J03341218-4953322,0.10687352,0.069684924,27.0,Menkalinan,081,2.39,2.77,50
33,42,LP 944-20,0.14695108999999998,0.069684924,20.9,Atria,0390,7,92,"5,500"
34,43,2MASP J0345432+254023,0.10790115,0.070639512,88.0,Alhena,0109,2.8,3.3,120
35,44,Teide 1,0.38844413999999994,0.05250234,380.0,Peacock,0180,5.9,4.8,"2,200"
36,45,2MASS J03510004-0052452,0.13050900999999998,0.09736797600000001,48.0,Alsephina[2],0080,2.4,2.9,90
37,46,2MASS J03552337+1133437,0.13564716,0.01909176,29.8,Mirzam,0500,13.5,10,"27,000"
38,48,2MASS J04151954−0935066,0.09762484999999999,0.028637640000000002,18.6,Alphard,0180,3.0,50,780
39,50,2MASS J04285096-2253227 [de],0.11201167000000001,0.07636704,85.0,Scheat,0196,2.1,95,"1,500"
40,51,2MASS J04351612-1606574,0.12948137999999998,0.0954588,34.0,Almaaz,0653,15,140,"43,000"
41,52,2MASS J04362788-4114465,0.20244310999999998,0.037228932,142.0,Rasalgethi,0360,2.8,280,"8,300"
42,53,2MASS J04390101-2353083 [de],0.09968010999999999,0.045820224,29.5,Tau Ceti,011.9,0.783,0.893,0.52
43,55,2MASS J04433764+0002040,0.18291813999999998,0.021000936,82.0,Ran,010.48,0.82,0.74,0.34
44,56,2MASS J04455387-3048204 [de],0.102763,0.061093632,42.0,V382 Carinae,"08,900",20,485,"212,000"
45,57,2MASS J04510093-3402150 [de],0.10687352,0.068730336,69.0,Eta Carinae,"07,500",100,60 - 881,"5,000,000"
46,58,2MASS J05002100+0330501 [de],0.102763,0.061093632,44.0,Delta Cephei,0887,4.5,44.5,"2,000"
47,59,2MASS J05012406-0010452 [de],0.14181293999999997,0.020046348000000002,64.0,Mu Cephei,"06,000",19.2,972,"135,000"
48,60,2MASS J05160945-0445499 [de],0.09968010999999999,0.044865636,73.0,Titawin,044.25,1.27,1.48,3.57
49,61,2MASS J0523−1403,0.10379063,0.064911984,40.0,Rho Cassiopeiae,"08,154",22,636-981,"347,000 - 530,000"
50,63,SDSS J053951.99-005902.0,0.10379063,0.058229868000000004,41.62,La Superba,"01,000",,129 - 342,"2,472 - 5,800"
51,65,LSR 0602+3910 [de],0.14489582999999998,0.026728464,34.6,61 Cygni,011.41,0.7,0.665,0.153
52,66,2MASS J06085283-2753583,0.15517213,0.036274344,102.0,R Doradus,0178,0.7 - 1.0,298,"4,350"
53,69,2MASS J06244595-4521548 [de],0.10173536999999999,0.053456928,39.0,54 Piscium,036.1,0.76,0.94,0.52
54,70,2MASS J06411840-4322329 [de],0.10379063,0.063957396,65.0,Mira,0300,1.2,370,"9,000"
55,71,DENIS-P J0652197-253450 [de],0.10790115,0.07159410000000001,51.0,RW Cephei,"014,000",13.9,"1,158","417,000"
56,73,2MASS J07075327-4900503,0.10584589,0.068730336,60.0,V838 Monocerotis,"019,896",?,380 - 750,"15,000"
57,74,UGPS J072227.51-054031.2,0.10070773999999999,0.024819288000000002,13.4,HD 140283,0202,0.81,2.04,4.82
58,75,2MASSI J0727182+171001 [de],0.09659721999999998,0.039138108,29.6,II Pegasi,0130,0.8,3.4,1.06
59,76,2MASS J07290002-3954043 [de],0.09659721999999998,0.035319756,25.8,VY Canis Majoris,"03,900",17,"1,420","178,000 - 270,000"
60,77,SDSS J074201.41+205520.5 [de],0.09659721999999998,0.041047284,49.0,Pistol Star,"025,000",100,320,"1,700,000"
61,79,DENIS-P J0751164-253043 [de],0.10584589,0.067775748,55.0,UY Scuti,"05,100",7 - 10,755,"86,300 - 87,100"
62,80,2MASS J07522390+1612157,0.20655362999999996,0.064911984,60.0,Barnard's Star,05.98,0.14,0.20,0.0035
